City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Eureka,US,2021-12-04 02:46:54,40.8021,-124.1637,52.2,96,21,4.09
68,Kruisfontein,ZA,2021-12-04 02:46:54,-34.0033,24.7314,56.88,81,100,3.74
69,Sinnamary,GF,2021-12-04 02:46:54,5.3833,-52.95,76.62,90,58,8.52
70,Totness,SR,2021-12-04 02:46:55,5.8833,-56.3167,77.2,87,97,8.61
71,Tiksi,RU,2021-12-04 02:46:55,71.6872,128.8694,-31.34,99,42,5.5
72,Kloulklubed,PW,2021-12-04 02:46:55,7.0419,134.2556,84.7,71,100,14.56
73,Ravar,IR,2021-12-04 02:46:55,31.2656,56.8055,44.01,74,0,2.46
74,Burghead,GB,2021-12-04 02:46:56,57.7011,-3.4899,41.4,88,75,3.44
75,Bardiyah,LY,2021-12-04 02:46:56,31.7561,25.0865,61.52,45,100,11.05
76,Hithadhoo,MV,2021-12-04 02:46:56,-0.6,73.0833,82.2,75,37,11.05
77,Ahipara,NZ,2021-12-04 02:46:56,-35.1667,173.1667,67.35,82,100,7.61
78,Kavieng,PG,2021-12-04 02:46:57,-2.5744,150.7967,84.81,69,90,6.96
79,Ostersund,SE,2021-12-04 02:46:57,63.1792,14.6357,16.25,100,90,5.75
80,Palmer,US,2021-12-04 02:46:57,42.1584,-72.3287,32.49,50,20,9.22
81,Kieta,PG,2021-12-04 02:46:58,-6.2167,155.6333,84.25,75,97,2.86
82,Kamenka,RU,2021-12-04 02:46:58,51.3223,42.7678,43.75,78,100,19.04
83,Pevek,RU,2021-12-04 02:46:58,69.7008,170.3133,-8.54,91,100,13.0
84,Arrifes,PT,2021-12-04 02:46:58,37.7667,-25.7,59.23,88,75,3.44
85,Cidreira,BR,2021-12-04 02:45:49,-30.1811,-50.2056,68.5,81,48,19.71
86,Touros,BR,2021-12-04 02:42:06,-5.1989,-35.4608,81.5,80,97,12.17
87,Urubicha,BO,2021-12-04 02:46:59,-15.3833,-62.95,74.62,89,69,2.1
88,Geraldton,AU,2021-12-04 02:46:59,-28.7667,114.6,97.21,19,0,19.57
89,Vaini,TO,2021-12-04 02:46:59,-21.2,-175.2,84.36,89,40,11.5
90,Nanzhou,CN,2021-12-04 02:47:00,29.3596,112.4024,59.67,23,100,3.44
91,Alofi,NU,2021-12-04 02:47:00,-19.0595,-169.9187,82.29,78,98,16.11
92,Nanning,CN,2021-12-04 02:47:00,22.8167,108.3167,59.45,39,100,3.4
93,Olafsvik,IS,2021-12-04 02:48:01,64.8945,-23.7142,35.53,60,79,2.48
94,Hami,CN,2021-12-04 02:48:01,42.8,93.45,27.05,52,17,3.38
95,Khatanga,RU,2021-12-04 02:48:01,71.9667,102.5,-19.61,96,100,15.68
96,Ulladulla,AU,2021-12-04 02:48:01,-35.35,150.4667,70.77,87,100,9.98
97,Maceio,BR,2021-12-04 02:48:02,-9.6658,-35.7353,81.84,78,75,5.75
98,Goshogawara,JP,2021-12-04 02:48:02,40.8044,140.4414,35.11,84,100,13.91
99,Quelimane,MZ,2021-12-04 02:48:02,-17.8786,36.8883,76.57,77,0,5.99
100,Chokurdakh,RU,2021-12-04 02:48:02,70.6333,147.9167,-28.44,96,100,9.01
101,Saint-Philippe,RE,2021-12-04 02:48:03,-21.3585,55.7679,78.22,80,29,8.41
102,Pemangkat,ID,2021-12-04 02:48:03,1.1667,108.9667,83.97,72,100,10.94
103,Chuy,UY,2021-12-04 02:48:03,-33.6971,-53.4616,59.9,87,56,6.02
104,Chiquimulilla,GT,2021-12-04 02:48:04,14.0858,-90.3767,78.78,71,20,5.23
105,Clyde River,CA,2021-12-04 02:48:04,70.4692,-68.5914,5.23,92,81,14.97
106,Port Lincoln,AU,2021-12-04 02:45:34,-34.7333,135.8667,64.04,55,29,12.44
107,Smithers,CA,2021-12-04 02:48:04,54.7804,-127.1743,28.72,100,90,10.36
108,Castro,BR,2021-12-04 02:46:54,-24.7911,-50.0119,59.0,89,82,11.88
109,Andenes,NO,2021-12-04 02:48:05,69.3143,16.1194,24.78,58,40,12.66
110,Bengkulu,ID,2021-12-04 02:48:05,-3.8004,102.2655,83.93,67,100,3.76
111,Sur,OM,2021-12-04 02:48:05,22.5667,59.5289,72.77,51,0,4.61
112,Krasnoturansk,RU,2021-12-04 02:48:05,54.3186,91.5639,30.99,93,80,3.24
113,Cherskiy,RU,2021-12-04 02:48:06,68.75,161.3,-10.23,96,100,16.28
114,Libertador General San Martin,AR,2021-12-04 02:48:06,-23.8064,-64.7876,77.07,67,100,3.13
115,Port Alfred,ZA,2021-12-04 02:48:06,-33.5906,26.891,65.05,79,100,4.41
116,Teya,RU,2021-12-04 02:48:07,60.3778,92.6267,23.47,86,100,11.65
117,Nantucket,US,2021-12-04 02:48:07,41.2835,-70.0995,37.96,51,1,9.22
118,Puerto Ayora,EC,2021-12-04 02:48:07,-0.7393,-90.3518,67.64,92,60,5.95
119,Nouadhibou,MR,2021-12-04 02:48:08,20.931,-17.0347,62.58,72,0,20.71
120,Whitianga,NZ,2021-12-04 02:48:08,-36.8333,175.7,64.92,91,100,7.67
121,Humberto De Campos,BR,2021-12-04 02:48:08,-2.5983,-43.4611,76.32,92,47,4.85
122,Thompson,CA,2021-12-04 02:48:08,55.7435,-97.8558,-12.84,84,75,5.75
