,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
339,Pochutla,MX,15.7432,-96.4661,77.85,82,69,2.66,broken clouds
340,Camacari,BR,-12.6975,-38.3242,82.17,88,99,6.33,overcast clouds
341,Petauke,ZM,-14.2426,31.3253,78.12,41,67,6.42,broken clouds
342,Muros,ES,42.7762,-9.0603,55.83,93,85,18.14,overcast clouds
343,Ambilobe,MG,-13.2,49.05,81.7,54,100,4.18,overcast clouds
344,Niamey,NE,13.5137,2.1098,67.87,15,26,10.33,scattered clouds
345,Opatija,HR,45.3392,14.3083,47.97,88,100,5.21,light rain
346,Poim,RU,53.0264,43.1872,32.22,91,99,8.21,overcast clouds
347,Vulcan,RO,45.3833,23.2667,27.7,89,34,3.04,scattered clouds
348,Ucluelet,CA,48.9329,-125.5528,37.09,90,61,11.27,broken clouds
349,Rurrenabaque,BO,-14.4413,-67.5278,71.98,99,97,2.15,moderate rain
350,Tukrah,LY,32.5341,20.5791,57.83,67,98,16.8,overcast clouds
351,Mhlume,SZ,-26.0333,31.85,71.87,79,96,3.09,overcast clouds
352,Aklavik,CA,68.2191,-135.0107,9.43,94,100,2.62,overcast clouds
353,Tombouctou,ML,20.0,-3.0,59.97,17,60,10.38,broken clouds
354,Skibbereen,IE,51.55,-9.2667,40.8,95,100,11.95,light rain
355,Vila,PT,42.0304,-8.1588,43.68,95,100,9.98,overcast clouds
356,Karratha,AU,-20.7377,116.8463,96.13,36,76,9.19,broken clouds
357,Camopi,GF,3.1655,-52.3158,71.73,100,51,2.1,broken clouds
358,Kavarna,BG,43.4333,28.3333,36.57,95,7,9.28,clear sky
359,Husavik,IS,66.0449,-17.3389,13.91,78,100,10.83,overcast clouds
360,Mitu,CO,1.1983,-70.1733,71.82,99,97,1.92,overcast clouds
361,Fayaoue,NC,-20.65,166.5333,82.04,74,12,6.82,few clouds
362,Verkhoyansk,RU,67.5447,133.385,-36.65,96,99,1.12,overcast clouds
363,Hofn,IS,64.2539,-15.2082,41.45,86,100,21.41,light rain
364,Cascais,PT,38.6979,-9.4215,55.51,75,84,1.01,broken clouds
365,Yar-Sale,RU,66.8333,70.8333,14.38,87,100,11.36,overcast clouds
366,Carauari,BR,-4.8828,-66.8958,73.83,98,100,1.83,overcast clouds
367,Mayo,US,38.8876,-76.5119,39.18,63,1,5.01,clear sky
368,Udachnyy,RU,66.4167,112.4,-25.06,96,96,7.67,overcast clouds
369,Sao Borja,BR,-28.6606,-56.0044,67.95,56,0,10.94,clear sky
370,Sakakah,SA,29.9697,40.2064,49.57,55,0,6.62,clear sky
371,Abilene,US,32.4487,-99.7331,70.5,31,1,4.0,clear sky
372,Milkovo,RU,54.7167,158.6167,11.98,70,37,7.43,scattered clouds
373,Vazante,BR,-17.9869,-46.9078,64.13,90,27,3.11,scattered clouds
374,Hami,CN,42.8,93.45,33.39,49,94,4.16,overcast clouds
375,Belluno,IT,46.145,12.2214,40.37,96,100,4.34,overcast clouds
376,Oteleni,RO,47.0833,27.0333,34.56,93,100,1.01,overcast clouds
377,Shakawe,BW,-18.3667,21.85,71.83,72,78,4.09,broken clouds
378,Zhangjiakou,CN,40.81,114.8794,34.72,61,61,2.24,broken clouds
379,Isangel,VU,-19.55,169.2667,86.11,74,75,0.0,broken clouds
380,Eureka,US,40.8021,-124.1637,49.93,70,100,13.58,overcast clouds
381,Chitungwiza,ZW,-18.0127,31.0756,71.62,51,22,11.27,few clouds
382,Koson,UZ,39.0375,65.585,39.52,31,0,8.46,clear sky
383,Kalispell,US,48.1958,-114.3129,31.6,76,20,1.01,few clouds
384,Westport,US,41.1415,-73.3579,36.32,92,90,1.01,light snow
385,Caravelas,BR,-17.7125,-39.2481,74.21,95,100,10.31,moderate rain
386,Los Llanos De Aridane,ES,28.6585,-17.9182,61.12,71,75,1.01,broken clouds
387,Oranjestad,AW,12.524,-70.027,80.55,78,20,12.66,few clouds
388,Salta,AR,-24.7859,-65.4117,70.39,88,75,3.44,broken clouds
389,Lazaro Cardenas,MX,17.9583,-102.2,75.58,89,15,2.71,few clouds
390,Kyabe,TD,9.4515,18.9449,72.59,27,58,4.23,broken clouds
391,Matara,LK,5.9485,80.5353,85.12,66,53,12.86,broken clouds
392,Maumere,ID,-8.6199,122.2111,83.7,74,47,3.33,scattered clouds
393,Nemuro,JP,43.3236,145.575,43.23,60,74,0.51,broken clouds
394,Shangrao,CN,28.4532,117.9686,65.23,48,26,1.23,scattered clouds
395,Quipot,PH,13.9317,121.3158,86.7,61,100,10.47,overcast clouds
396,Houston,US,29.7633,-95.3633,66.34,84,90,4.0,mist
397,Bentiu,SS,9.2333,29.8333,73.9,33,3,5.79,clear sky
398,Alvdal,NO,62.1077,10.6307,22.84,96,100,8.46,overcast clouds
399,Mount Isa,AU,-20.7333,139.5,98.37,13,0,14.97,clear sky
400,Kiama,AU,-34.6833,150.8667,74.68,91,48,6.91,light rain
401,Helong,CN,42.5397,128.9972,42.69,63,97,1.99,overcast clouds
402,Narsaq,GL,60.9167,-46.05,25.02,75,73,5.44,broken clouds
403,Newburgh,US,41.5034,-74.0104,35.22,87,90,4.61,light snow
404,Qasigiannguit,GL,68.8193,-51.1922,28.65,71,100,5.53,overcast clouds
405,San Policarpo,PH,12.1791,125.5072,80.06,85,100,19.6,moderate rain
406,Teguise,ES,29.0605,-13.564,61.02,77,40,16.11,scattered clouds
407,Brae,GB,60.3964,-1.353,44.58,86,100,26.37,overcast clouds
408,Xining,CN,36.6167,101.7667,34.14,39,6,1.68,clear sky
409,Meulaboh,ID,4.1363,96.1285,85.37,68,94,3.87,overcast clouds
410,Sukhobezvodnoye,RU,57.0491,44.8891,23.79,96,100,6.51,light snow
411,La Grande,US,45.3246,-118.0877,34.99,66,52,4.68,broken clouds
412,Buraydah,SA,26.326,43.975,54.05,31,29,12.57,scattered clouds
413,Opuwo,NA,-18.0607,13.84,71.94,14,47,2.64,scattered clouds
414,Dana Point,US,33.467,-117.6981,59.67,91,0,1.01,clear sky
415,Ilebo,CD,-4.3167,20.5833,69.94,100,100,0.96,moderate rain
416,Sept-Iles,CA,50.2001,-66.3821,0.12,71,75,5.75,broken clouds
417,Nakambala,ZM,-15.8324,27.7799,78.75,37,57,12.03,broken clouds
418,San Buenaventura,MX,27.0833,-101.5333,66.47,52,93,1.25,overcast clouds
419,Polewali,ID,-3.4324,119.3435,85.19,69,98,4.5,overcast clouds
420,Luanda,AO,-8.8368,13.2343,77.0,94,75,4.61,broken clouds
421,Requena,ES,39.4883,-1.1004,42.87,74,15,18.79,few clouds
422,Hamilton,US,39.1834,-84.5333,30.78,85,1,1.01,clear sky
423,Kieta,PG,-6.2167,155.6333,82.98,81,92,3.76,moderate rain
424,Bauta,CU,22.9828,-82.5464,67.98,100,0,1.14,fog
425,Coquimbo,CL,-29.9533,-71.3436,58.73,88,0,6.91,clear sky
426,Dukat,RU,62.55,155.55,-40.04,99,65,5.17,broken clouds
427,College,US,64.8569,-147.8028,11.86,78,90,0.0,light snow
428,Vostok,RU,46.4856,135.8833,33.89,91,65,2.15,broken clouds
429,Libertador General San Martin,AR,-23.8064,-64.7876,78.94,70,98,2.59,overcast clouds
430,Nova Olinda Do Norte,BR,-3.8881,-59.0942,75.72,92,100,1.86,moderate rain
431,Kangayam,IN,11.0,77.5667,78.12,72,14,5.5,few clouds
432,Santa Lucia,ES,27.9117,-15.5407,56.52,87,75,17.27,broken clouds
433,Kargasok,RU,59.0556,80.8572,5.38,87,100,14.29,overcast clouds
434,Shingu,JP,33.7333,135.9833,59.99,50,5,3.65,clear sky
435,Vinh,VN,18.6667,105.6667,65.8,88,99,10.6,overcast clouds
436,Gamba,GA,-2.65,10.0,76.84,90,98,2.8,light rain
437,San Ignacio,BZ,17.1561,-89.0714,73.54,100,40,4.61,mist
438,Vestmanna,FO,62.1564,-7.1664,40.12,87,75,20.71,broken clouds
439,Bontang,ID,0.1333,117.5,82.44,78,47,6.89,scattered clouds
440,Sao Filipe,CV,14.8961,-24.4956,75.33,67,99,10.6,overcast clouds
441,Vanimo,PG,-2.6741,141.3028,84.07,81,100,10.69,overcast clouds
442,Monrovia,LR,6.3005,-10.7969,76.77,87,29,7.99,light rain
443,Dongsheng,CN,39.8161,109.9776,32.85,42,0,16.84,clear sky
444,Sain Alto,MX,23.5833,-103.25,57.33,31,2,7.9,clear sky
445,Sfantu Gheorghe,RO,45.8667,25.7833,25.93,97,76,2.95,broken clouds
446,Solnechnyy,RU,50.7214,136.6319,25.72,79,58,6.42,broken clouds
447,Port Lincoln,AU,-34.7333,135.8667,62.62,52,52,16.84,broken clouds
448,Yulin,CN,22.6333,110.15,70.95,48,89,5.73,overcast clouds
449,Pasni,PK,25.2631,63.471,72.25,23,1,5.39,clear sky
450,Hualmay,PE,-11.0964,-77.6139,66.34,87,100,7.16,overcast clouds
451,Basco,PH,20.4487,121.9702,75.07,59,60,20.38,broken clouds
452,Mehamn,NO,71.0357,27.8492,19.58,67,0,16.11,clear sky
453,Nelson Bay,AU,-32.7167,152.15,75.25,85,41,8.39,scattered clouds
454,Peno,RU,56.9262,32.7426,2.82,98,56,3.49,broken clouds
455,Burns Lake,CA,54.2331,-125.7533,9.82,65,100,7.02,overcast clouds
456,Nara,JP,34.6851,135.8049,58.96,50,19,2.53,few clouds
457,Mahibadhoo,MV,3.7833,72.9667,82.31,74,69,9.78,broken clouds
458,Coahuayana,MX,18.7333,-103.6833,72.72,89,22,3.69,few clouds
459,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,71.83,98,99,6.24,overcast clouds
460,Punta Umbria,ES,37.1821,-6.9661,48.24,71,28,12.88,scattered clouds
461,Lake Oswego,US,45.4207,-122.6706,39.88,92,20,1.99,few clouds
462,Bilibino,RU,68.0546,166.4372,-34.89,99,100,1.23,overcast clouds
463,Manta,EC,-0.95,-80.7333,74.98,83,90,5.75,overcast clouds
464,Letychiv,UA,49.3826,27.6305,29.46,96,100,5.68,overcast clouds
465,Pilar,BR,-9.5972,-35.9567,76.93,89,3,5.7,clear sky
466,Port-Gentil,GA,-0.7193,8.7815,79.95,82,92,5.57,overcast clouds
467,Lianran,CN,24.9227,102.485,57.74,55,84,6.82,broken clouds
468,Cuiluan,CN,47.72,128.648,35.58,68,82,8.84,broken clouds
469,Chauk,MM,20.8833,94.8167,83.28,54,0,9.69,clear sky
470,Verkh-Usugli,RU,52.7,115.1667,21.51,59,31,6.13,scattered clouds
471,Belaya Gora,RU,68.5333,146.4167,-48.03,100,97,1.77,overcast clouds
472,Panorama,GR,40.5878,23.0315,39.78,80,9,1.01,clear sky
473,Egvekinot,RU,66.3167,-179.1667,-13.02,89,100,7.43,overcast clouds
474,Corinto,GR,37.9407,22.9573,52.68,76,30,3.09,scattered clouds
475,Kamenka,RU,51.3223,42.7678,33.75,88,100,7.49,overcast clouds
476,Warrnambool,AU,-38.3833,142.4833,63.81,62,96,16.62,overcast clouds
477,Kadyy,RU,57.787,43.1903,15.22,93,100,6.31,light snow
478,Balaipungut,ID,1.05,101.2833,86.41,71,100,2.01,overcast clouds
479,Inhambane,MZ,-23.865,35.3833,76.98,88,20,4.61,few clouds
480,Am Timan,TD,11.0297,20.2827,69.91,27,17,6.6,few clouds
481,Lagos,NG,6.5833,3.75,77.32,90,60,2.17,broken clouds
482,Pacific Grove,US,36.6177,-121.9166,55.51,91,90,1.99,mist
483,Gimli,CA,50.6336,-96.9907,20.43,86,100,21.85,overcast clouds
484,Luwuk,ID,-0.9516,122.7875,85.23,79,85,1.59,overcast clouds
485,Gotsu,JP,35.0,132.2167,55.54,49,24,7.94,few clouds
486,Daru,PG,-9.0763,143.2092,84.36,75,74,3.71,broken clouds
487,Manoel Urbano,BR,-8.8389,-69.2597,73.54,97,100,2.51,overcast clouds
488,Makakilo City,US,21.3469,-158.0858,77.32,69,75,6.91,broken clouds
489,Jieshou,CN,33.2634,115.3611,57.63,43,0,6.67,clear sky
490,Zinacantan,MX,16.75,-92.7,48.36,90,22,5.35,few clouds
491,Jamkhed,IN,18.7362,75.3121,77.9,46,2,9.55,clear sky
492,Xai-Xai,MZ,-25.0519,33.6442,74.23,83,100,0.85,overcast clouds
493,Negomiru,RO,44.8333,23.1667,33.1,88,25,1.28,scattered clouds
494,Quatre Cocos,MU,-20.2078,57.7625,83.08,64,47,12.19,scattered clouds
495,Peleduy,RU,59.6289,112.7406,6.85,87,100,11.52,overcast clouds
496,Oudtshoorn,ZA,-33.5907,22.2014,59.36,78,66,1.28,broken clouds
497,Chapais,CA,49.7834,-74.8492,1.18,96,100,4.45,light snow
498,Toppenish,US,46.3774,-120.3087,38.71,61,1,4.09,clear sky
499,Havre-Saint-Pierre,CA,50.2334,-63.5986,14.59,78,75,8.05,broken clouds
500,Gucheng,CN,35.9115,111.3192,49.77,37,0,5.21,clear sky
501,Kudahuvadhoo,MV,2.6708,72.8944,82.24,75,97,7.72,overcast clouds
502,Tabas,IR,33.5959,56.9244,57.7,22,95,3.71,overcast clouds
503,Camacupa,AO,-12.0167,17.4833,60.37,97,100,0.92,light rain
504,Yatou,CN,37.15,122.3833,52.18,73,100,11.12,overcast clouds
505,Madera,US,37.1666,-119.8343,54.23,86,80,2.93,broken clouds
506,Omboue,GA,-1.5746,9.2618,77.13,89,83,2.01,broken clouds
507,Vanderhoof,CA,54.0166,-124.0198,28.44,56,100,11.23,overcast clouds
508,Mtambile,TZ,-5.3833,39.7,79.84,79,76,2.64,light rain
509,Olhao,PT,37.0286,-7.8411,51.69,87,0,9.22,clear sky
510,Grand Gaube,MU,-20.0064,57.6608,83.37,61,16,8.01,few clouds
511,Sabha,LY,27.0377,14.4283,46.24,30,67,10.2,broken clouds
512,Khargone,IN,21.8167,75.6,76.06,44,29,8.81,scattered clouds
513,Port Blair,IN,11.6667,92.75,82.87,64,100,15.12,overcast clouds
514,Sitka,US,57.0531,-135.33,39.09,60,90,8.05,light rain
515,Svetlaya,RU,46.5389,138.3297,39.88,80,42,7.47,scattered clouds
516,Mufulira,ZM,-12.5498,28.2407,70.59,47,48,8.68,scattered clouds
517,Zaraza,VE,9.3503,-65.3245,76.39,82,99,4.54,overcast clouds
518,Ahipara,NZ,-35.1667,173.1667,69.89,69,98,3.83,overcast clouds
519,Pitimbu,BR,-7.4706,-34.8086,79.39,78,8,11.68,clear sky
520,Chadiza,ZM,-14.0678,32.4392,75.85,44,12,3.85,few clouds
521,Miles City,US,46.4083,-105.8406,43.77,65,90,21.85,overcast clouds
522,Krasnokamensk,RU,50.0979,118.0369,22.48,77,100,4.97,overcast clouds
523,Bolshoy Kamen,RU,43.1225,132.3583,40.89,85,56,5.37,broken clouds
524,Mnogovershinnyy,RU,53.9353,139.9242,15.71,87,100,5.12,overcast clouds
525,Polunochnoye,RU,60.8697,60.4153,1.72,98,64,2.66,broken clouds
526,North Bend,US,43.4065,-124.2243,44.51,95,90,0.0,overcast clouds
527,Bogorodskoye,RU,56.55,37.8833,12.09,99,78,4.81,broken clouds
528,Tazovskiy,RU,67.4667,78.7,7.48,92,94,16.42,overcast clouds
529,Mumbwa,ZM,-14.9783,27.0619,75.6,39,75,7.85,broken clouds
530,Blythe,US,33.6103,-114.5964,61.25,41,1,3.44,clear sky
531,Flinders,AU,-34.5833,150.8552,74.48,92,50,6.55,light rain
532,Boyuibe,BO,-20.4167,-63.2833,75.58,53,100,3.18,overcast clouds
533,Manokwari,ID,-0.8667,134.0833,83.41,75,66,3.42,broken clouds
534,Camacha,PT,33.0833,-16.3333,61.56,59,75,11.5,broken clouds
535,Mandalgovi,MN,45.7625,106.2708,23.36,43,79,7.45,broken clouds
536,Mongo,TD,12.1844,18.693,70.54,22,2,5.82,clear sky
537,Sao Joao Da Barra,BR,-21.6403,-41.0511,66.15,90,34,6.69,scattered clouds
538,Komsomolskiy,UZ,40.4272,71.7189,39.92,70,0,4.61,mist
539,Sungai Besar,MY,3.6746,100.9867,87.85,68,100,2.53,overcast clouds
540,Alto Araguaia,BR,-17.3147,-53.2153,67.03,82,3,5.79,clear sky
541,Jiexiu,CN,37.0244,111.9125,47.44,34,0,9.4,clear sky
542,Hoa Binh,VN,20.8133,105.3383,69.69,82,100,2.53,overcast clouds
543,Finschhafen,PG,-6.6024,147.8681,87.03,67,98,8.01,overcast clouds
544,Makaha,US,21.4694,-158.2175,78.71,73,90,6.91,overcast clouds
545,Dawlatabad,AF,36.4141,64.9053,52.3,40,0,4.18,clear sky
546,Lakes Entrance,AU,-37.8811,147.981,57.58,85,100,14.88,moderate rain
547,Annau,TM,37.8876,58.516,35.1,100,90,4.61,fog
548,Kosh-Agach,RU,50.0,88.6667,11.07,70,100,4.16,overcast clouds
549,Tiarei,PF,-17.5333,-149.3333,80.62,69,61,9.8,broken clouds
550,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,72.93,97,100,1.39,overcast clouds
551,Kontagora,NG,10.3999,5.4695,66.22,20,6,5.21,clear sky
552,Parrita,CR,9.5201,-84.3225,80.37,80,53,3.74,broken clouds
553,Zhaotong,CN,27.3167,103.7167,45.52,85,100,2.51,overcast clouds
554,Jobabo,CU,20.9692,-76.2994,73.42,86,0,5.01,clear sky
555,Atambua,ID,-9.1061,124.8925,82.56,71,45,3.47,scattered clouds
556,Qui Nhon,VN,13.7667,109.2333,75.96,84,97,18.59,overcast clouds
557,Sola,VU,-13.8833,167.55,82.85,75,83,8.97,broken clouds
558,Kaman,IN,27.65,77.2667,67.98,38,0,1.81,clear sky
559,Ahuimanu,US,21.4447,-157.8378,78.51,70,90,11.5,overcast clouds
560,Pisco,PE,-13.7,-76.2167,68.05,83,0,6.91,clear sky
561,Sortavala,RU,61.7053,30.6918,4.69,97,44,3.36,scattered clouds
562,Lamu,KE,-2.2717,40.902,79.02,76,44,5.79,light rain
563,Badulla,LK,6.9895,81.0557,76.75,78,99,5.57,overcast clouds
564,Kharp,RU,66.8014,65.8081,3.88,89,100,10.58,overcast clouds
565,Yoichi,JP,43.2039,140.7703,48.22,52,2,1.25,clear sky
566,Yarada,IN,17.65,83.2667,77.32,73,90,9.22,mist
567,Port-Cartier,CA,50.0334,-66.8654,-0.18,84,100,5.7,overcast clouds
568,Tonantins,BR,-2.8731,-67.8022,73.24,99,100,0.63,light rain
569,Nador,MA,35.174,-2.9287,57.45,62,20,20.71,few clouds
570,Gizo,SB,-8.103,156.8419,82.51,76,100,5.06,moderate rain
571,Muriwai Beach,NZ,-36.8167,174.45,76.95,68,100,6.96,overcast clouds
572,Baykit,RU,61.67,96.37,-8.19,96,100,5.73,overcast clouds
573,San Angelo,US,31.4638,-100.437,68.32,39,1,1.99,clear sky
574,Rio Grande,BR,-32.035,-52.0986,65.98,75,1,11.86,clear sky
575,Acapulco,MX,16.8634,-99.8901,80.42,89,1,3.44,clear sky
576,The Pas,CA,53.8251,-101.2541,8.62,78,90,12.66,light snow
577,Loncoche,CL,-39.3667,-72.6333,57.88,69,0,4.25,clear sky
578,Nanyamba,TZ,-10.6833,39.8333,78.69,72,6,3.96,clear sky
579,Pangody,RU,65.85,74.4859,16.9,88,100,16.75,overcast clouds
580,Ust-Kut,RU,56.7938,105.7672,4.75,88,98,5.35,overcast clouds
581,Salisbury,GB,51.0693,-1.7957,43.52,78,59,12.66,broken clouds
582,Beloha,MG,-25.1667,45.05,86.92,39,19,4.94,few clouds
583,Puerto Escondido,MX,15.85,-97.0667,78.69,77,5,3.09,clear sky
584,Deputatskiy,RU,69.3,139.9,-33.45,89,99,3.29,overcast clouds
585,Alyangula,AU,-13.8483,136.4192,80.47,94,75,11.5,broken clouds
586,Talaya,RU,61.3833,152.75,-44.9,100,68,2.1,broken clouds
587,Benguela,AO,-12.5763,13.4055,78.24,76,100,2.08,overcast clouds
588,Tocopilla,CL,-22.092,-70.1979,64.54,77,14,3.74,few clouds
589,Mounana,GA,-1.4085,13.1586,69.4,96,45,1.61,scattered clouds
590,Ampanihy,MG,-24.7,44.75,88.54,33,20,9.26,few clouds
591,Nueva Guinea,NI,11.6876,-84.4562,69.44,98,59,4.25,broken clouds
592,Kochinda,IN,21.7333,84.35,73.36,52,75,4.43,broken clouds
593,Fuente De Oro,CO,3.4594,-73.6128,75.79,81,99,3.02,overcast clouds
594,Nhulunbuy,AU,-12.2333,136.7667,86.61,66,40,6.91,light rain
595,West Bay,KY,19.3667,-81.4167,79.0,85,10,8.34,clear sky
596,Rio De Janeiro,BR,-22.9028,-43.2075,70.92,88,90,2.3,overcast clouds
597,Grindavik,IS,63.8424,-22.4338,36.07,87,90,24.16,moderate rain
598,Moose Factory,CA,51.2585,-80.6094,-16.6,76,1,4.61,clear sky
599,Qurayyat,SA,31.3318,37.3428,53.78,58,22,6.91,dust
600,Japura,ID,-0.3167,102.35,89.28,52,100,4.54,overcast clouds
601,Otavalo,EC,0.2333,-78.2667,55.62,96,99,1.36,overcast clouds
602,Cheremukhovo,RU,60.3484,59.9851,7.93,97,96,2.66,overcast clouds
603,Ngama,TD,11.7833,17.1667,67.14,19,60,8.21,broken clouds
604,Petersburg,US,37.2279,-77.4019,36.12,77,1,4.61,clear sky
605,Skeldon,GY,5.8833,-57.1333,74.75,95,96,4.14,overcast clouds
606,Olafsvik,IS,64.8945,-23.7142,35.24,81,100,23.38,snow
607,Labuan,MY,5.2767,115.2417,89.76,79,20,8.01,few clouds
608,Camana,PE,-16.6228,-72.7111,67.05,86,100,6.13,overcast clouds
609,Caraballeda,VE,10.6112,-66.8522,78.87,79,20,0.0,few clouds
610,Nizwa,OM,22.9333,57.5333,70.79,28,15,1.39,few clouds
611,Geraldton,AU,-28.7667,114.6,79.21,61,40,13.8,scattered clouds
612,Puerto Ayacucho,VE,5.6639,-67.6236,75.0,86,77,3.31,broken clouds
613,Thinadhoo,MV,0.5333,72.9333,82.22,74,95,6.76,overcast clouds
614,Le Port,RE,-20.9373,55.2919,85.96,62,40,2.55,scattered clouds
615,Mecca,SA,21.4267,39.8261,73.85,64,89,5.44,overcast clouds
616,Tura,IN,25.5198,90.2201,77.47,44,0,1.39,clear sky
617,Banda Aceh,ID,5.5577,95.3222,85.21,67,99,11.07,overcast clouds
618,Saint-Augustin,CA,51.226,-58.6502,12.87,54,99,10.09,overcast clouds
619,Moree,AU,-29.4667,149.85,86.02,42,40,17.27,scattered clouds
620,Bandarbeyla,SO,9.4942,50.8122,77.07,64,91,18.86,overcast clouds
621,Broken Hill,AU,-31.95,141.4333,69.51,23,1,23.02,clear sky
622,Port Augusta,AU,-32.5,137.7667,76.71,28,0,20.38,clear sky
623,Moranbah,AU,-22.0016,148.0466,96.39,25,28,8.1,scattered clouds
624,Soe,ID,-9.8607,124.284,77.4,74,52,5.68,broken clouds
625,Rawson,AR,-43.3002,-65.1023,52.23,65,1,8.34,clear sky
626,Tartus,SY,34.889,35.8866,58.5,73,30,8.37,scattered clouds
627,Jimma,ET,7.6667,36.8333,63.25,49,22,1.41,few clouds
628,Estevan,CA,49.1334,-102.9842,35.94,80,1,13.8,clear sky
629,Ardabil,IR,38.2498,48.2933,45.95,53,20,13.8,few clouds
630,Lavrentiya,RU,65.5833,-171.0,-9.2,93,61,8.08,broken clouds
631,Isabela,PH,6.7085,121.9711,86.05,68,94,2.89,overcast clouds
632,Kumluca,TR,36.3703,30.2869,47.68,63,15,5.17,few clouds
633,Alamos,MX,27.0167,-108.9333,60.71,34,95,2.82,overcast clouds
634,Mazamari,PE,-11.3258,-74.5308,69.42,96,100,2.24,overcast clouds
635,Taltal,CL,-25.4,-70.4833,61.86,81,66,1.63,broken clouds
636,Fare,PF,-16.7,-151.0167,81.12,70,73,9.51,broken clouds
637,Yongzhou,CN,26.4559,111.5988,63.54,41,30,3.29,scattered clouds
638,Puerto Cabezas,NI,14.0351,-83.3888,76.1,89,45,9.13,scattered clouds
639,Katsuura,JP,35.1333,140.3,57.22,70,92,22.57,overcast clouds
640,Marzuq,YE,14.4,46.4667,62.67,13,0,3.27,clear sky
641,Hof,DE,50.3167,11.9167,31.46,92,90,2.3,light snow
642,Kita,ML,13.0349,-9.4895,69.04,22,5,2.82,clear sky
643,Sol-Iletsk,RU,51.1631,54.9918,23.25,67,100,16.22,overcast clouds
644,Parainen,FI,60.3067,22.301,29.14,80,100,13.18,overcast clouds
645,El Cobre,CU,20.0489,-75.9469,72.84,100,20,4.61,few clouds
646,Kodinsk,RU,58.6881,99.1844,-0.98,90,89,7.25,overcast clouds
647,Dali,CN,25.7,100.1833,62.71,46,6,4.63,clear sky
648,Huanren,CN,41.2647,125.3667,37.02,75,100,4.05,overcast clouds
649,Diourbel,SN,14.6628,-16.3925,71.37,17,68,9.4,broken clouds
650,Nampula,MZ,-15.1165,39.2666,76.95,69,0,3.44,clear sky
651,Alcantara,BR,-2.4089,-44.4147,82.6,86,87,7.47,overcast clouds
652,Suntar,RU,62.1444,117.6319,-4.38,81,93,8.84,overcast clouds
653,Kimbe,PG,-5.5502,150.1429,83.43,80,100,3.74,moderate rain
654,Walvis Bay,NA,-22.9575,14.5053,58.08,94,23,9.22,few clouds
655,Chifeng,CN,42.2683,118.9636,39.25,58,100,8.55,overcast clouds
656,De Aar,ZA,-30.6497,24.0123,71.13,50,81,15.55,broken clouds
657,Katangli,RU,51.7102,143.2326,28.11,86,12,8.34,few clouds
658,Jerome,US,42.7241,-114.5186,40.55,80,75,13.8,broken clouds
659,Namibe,AO,-15.1961,12.1522,69.64,60,52,8.14,broken clouds
660,Nieuwpoort,BE,51.1244,2.7735,41.09,93,90,8.05,light rain
661,Cap-Aux-Meules,CA,47.3821,-61.8597,24.82,74,100,5.75,light snow
662,Algarrobo,CO,10.1869,-74.5753,74.14,91,61,2.35,broken clouds
663,Soure,BR,-0.7167,-48.5233,78.93,87,97,6.08,overcast clouds
664,Lukovetskiy,RU,64.2956,41.9211,4.98,100,97,2.42,overcast clouds
665,Catabola,AO,-12.15,17.2833,60.22,96,100,0.54,light rain
666,Altay,CN,47.8667,88.1167,14.81,92,97,0.31,overcast clouds
667,Kalmunai,LK,7.4167,81.8167,83.3,66,83,10.0,broken clouds
668,Bilma,NE,18.6853,12.9164,56.79,21,35,8.25,scattered clouds
669,Dudinka,RU,69.4058,86.1778,1.62,97,100,13.09,overcast clouds
670,Abu Samrah,SY,35.3029,37.1841,50.81,82,21,9.8,few clouds
671,Okhotsk,RU,59.3833,143.3,-13.56,78,84,9.78,broken clouds
672,Ulsteinvik,NO,62.3432,5.8487,39.33,62,70,10.83,broken clouds
673,Emerald,AU,-23.5333,148.1667,93.34,40,10,10.36,clear sky
674,Mahon,ES,39.8885,4.2658,48.76,66,0,13.8,clear sky
675,Huilong,CN,31.8111,121.655,63.03,61,73,7.34,broken clouds
676,Myitkyina,MM,25.3833,97.4,80.08,51,55,1.48,broken clouds
677,Kologriv,RU,58.8275,44.3178,11.62,94,100,4.18,light snow
678,Uray,RU,60.1247,64.7758,12.92,98,98,4.29,overcast clouds
679,Laurel,US,39.0993,-76.8483,38.37,61,40,1.99,scattered clouds
680,Nyaunglebin,MM,17.95,96.7333,82.51,57,26,3.27,scattered clouds
681,Jalu,LY,29.0331,21.5482,52.36,55,0,7.92,clear sky
682,Xiaoweizhai,CN,26.1903,107.5125,58.5,59,73,2.68,broken clouds
683,Byron Bay,AU,-28.65,153.6167,87.91,70,1,11.81,clear sky
684,Kirakira,SB,-10.4544,161.9205,84.58,76,97,6.58,overcast clouds
685,Chicama,PE,-7.8447,-79.1469,63.14,84,93,4.38,overcast clouds
686,Bud,US,39.447,-86.1758,28.58,86,21,3.62,few clouds
687,Auki,SB,-8.7676,160.7034,82.83,86,92,6.38,overcast clouds
688,Bang Saphan,TH,11.2126,99.5117,85.95,63,57,12.37,broken clouds
689,Tessalit,ML,20.1986,1.0114,63.21,13,55,7.85,broken clouds
